Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 06/18  01:00:00,675.8200673481531,0.0,675.8200673481531,2432952.242453351,0.0,0.0,0.0,69806.62318693068,2346544.0147882546
 06/18  02:00:00,642.4331931824282,0.0,642.4331931824282,2312759.4954567417,0.0,0.0,0.0,69806.62318693068,2226351.267791645
 06/18  03:00:00,639.0463190167034,0.0,639.0463190167034,2300566.748460132,0.0,0.0,0.0,69806.62318693068,2214158.520795036
 06/18  04:00:00,600.1659093606904,0.0,600.1659093606904,2160597.2736984855,0.0,0.0,0.0,70939.38786339202,2073056.281356928
 06/18  05:00:00,615.1410408629633,0.0,615.1410408629633,2214507.747106668,0.0,0.0,0.0,156533.91872850276,2044620.3639065973
 06/18  06:00:00,744.5223306367841,0.0,744.5223306367841,2680280.390292423,0.0,0.0,0.0,434698.444592043,2232950.290119167
 06/18  07:00:00,2031.2152582509873,0.0,2031.2152582509873,7312374.929703554,0.0,0.0,0.0,310094.33018129447,6990009.848386224
 06/18  08:00:00,9747.261516436303,0.0,9747.261516436303,35090141.45917069,0.0,0.0,0.0,307262.4184901411,34770969.193989694
 06/18  09:00:00,1499.143750816012,0.0,1499.143750816012,5396917.502937645,0.0,0.0,0.0,295934.7717255276,5090877.406747147
 06/18  10:00:00,744.1157345367718,0.0,744.1157345367718,2678816.6443323786,0.0,0.0,0.0,287439.0366520675,2383437.7098864056
 06/18  11:00:00,746.5865001143852,0.0,746.5865001143852,2687711.400411787,0.0,0.0,0.0,276111.389887454,2406186.4438466704
 06/18  12:00:00,757.4119821671818,0.0,757.4119821671818,2726683.1358018545,0.0,0.0,0.0,269031.6106595706,2453320.6718001533
 06/18  13:00:00,756.5250887959787,0.0,756.5250887959787,2723490.3196655232,0.0,0.0,0.0,266199.6989684172,2453320.6718001533
 06/18  14:00:00,822.5101904232689,63.18173055080716,885.6919209740761,3188490.915506674,45744.71914398928,181709.51083891647,0.0,412751.12898560433,2544315.6076412112
 06/18  15:00:00,870.0478398866253,361.8202662839026,1231.8681061705279,4434725.182213901,262564.70315949956,1039988.2554625499,0.0,463017.56150357676,2664823.808746144
 06/18  16:00:00,907.6330952901667,561.1511009802331,1468.7841962703997,5287623.106573439,410272.84544015536,1609871.1180886836,0.0,464433.5173491534,2796188.441237074
 06/18  17:00:00,1008.3974680459647,666.4213916881362,1674.818859734101,6029347.895042763,492519.6465215474,1906597.363555743,0.0,474345.20826819027,3142532.2122257147
 06/18  18:00:00,998.2575959295922,601.7586477613085,1600.0162436909004,5760058.477287242,451186.6447863528,1715144.4871543574,0.0,343369.2925523466,3232673.7349804873
 06/18  19:00:00,1186.9623190641757,519.4471621587743,1706.40948122295,6143074.132402621,398453.3515487484,1471556.4322228392,0.0,587621.675914325,3661983.8837801693
 06/18  20:00:00,987.2314051952601,121.25133567983266,1108.4827408750928,3990537.867150334,94686.42885148765,341818.37959590997,0.0,737712.9955454541,2783477.7586463285
 06/18  21:00:00,802.3825452914107,0.0,802.3825452914107,2888577.1630490785,0.0,0.0,0.0,393140.1405243672,2457542.055781073
 06/18  22:00:00,667.2657437414958,0.0,667.2657437414958,2402156.677469385,0.0,0.0,0.0,69806.62318693068,2299507.7497713007
 06/18  23:00:00,654.2980866707186,0.0,654.2980866707186,2355473.112014587,0.0,0.0,0.0,69806.62318693068,2262929.508781473
 06/18  24:00:00,649.2069415138778,0.0,649.2069415138778,2337144.98944996,0.0,0.0,0.0,69806.62318693068,2250736.7617848637
 06/19  01:00:00,675.8200673481531,0.0,675.8200673481531,2432952.242453351,0.0,0.0,0.0,69806.62318693068,2346544.0147882546
 06/19  02:00:00,642.4331931824282,0.0,642.4331931824282,2312759.4954567417,0.0,0.0,0.0,69806.62318693068,2226351.267791645
 06/19  03:00:00,639.0463190167034,0.0,639.0463190167034,2300566.748460132,0.0,0.0,0.0,69806.62318693068,2214158.520795036
 06/19  04:00:00,635.6594448509786,0.0,635.6594448509786,2288374.001463523,0.0,0.0,0.0,69806.62318693068,2201965.7737984266
 06/19  05:00:00,621.3155837431167,0.0,621.3155837431167,2236736.10147522,0.0,0.0,0.0,127577.6216864595,2095805.0153171923
 06/19  06:00:00,819.5322490606989,0.0,819.5322490606989,2950316.0966185154,0.0,0.0,0.0,252040.14051265028,2685644.300524652
 06/19  07:00:00,989.4171912317039,0.0,989.4171912317039,3561901.888434134,0.0,0.0,0.0,310094.33018129447,3239536.807116804
 06/19  08:00:00,5218.53350059484,0.0,5218.53350059484,18786720.602141425,0.0,0.0,0.0,307262.4184901411,18467548.336960427
 06/19  09:00:00,750.4640425204202,0.0,750.4640425204202,2701670.553073513,0.0,0.0,0.0,295934.7717255276,2395630.456883015
 06/19  10:00:00,646.800911879361,0.0,646.800911879361,2328483.2827656996,0.0,0.0,0.0,69806.62318693068,2250736.7617848637
 06/19  11:00:00,858.0429913266624,0.0,858.0429913266624,3088954.768775985,0.0,0.0,0.0,276111.389887454,2807429.8122108686
 06/19  12:00:00,1203.237947016291,15.461921080155882,1218.6998680964468,4387319.525147208,10963.444543815625,44699.47134474555,0.0,269031.6106595706,4058294.145256946
 06/19  13:00:00,1168.9875409509739,355.8165145162369,1524.8040554672107,5489294.599681959,251783.51101862002,1029155.9412398329,0.0,315404.1646022071,3888981.0339243463
 06/19  14:00:00,750.2059960292386,668.884591397772,1419.0905874270106,5108726.114737239,472476.2222939724,1935508.3067380069,0.0,266199.6989684172,2430571.937839889
 06/19  15:00:00,945.5436436239564,1034.1925551996346,1979.7361988235912,7127050.315764928,733179.3812902006,2989913.8174284846,0.0,364608.63023599697,3035017.633468116
 06/19  16:00:00,8694.023560732694,1736.4013272025616,10430.424887935254,37549529.596566916,1249060.0187775106,5001984.759151712,0.0,366024.5860815737,30925603.048097752
 06/19  17:00:00,4005.364588640632,1834.7833201902,5840.1479088308315,21024532.471790995,1329843.2534553644,5275376.699229355,0.0,474345.20826819027,13931613.846366515
 06/19  18:00:00,1342.4282749339468,1631.5999687053038,2974.028243639251,10706501.677101303,1191438.826620837,4682321.060718256,0.0,506912.192716454,4308145.279232056
